,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
115,222080,KR7222080004,씨아이에스,KOSDAQ GLOBAL,우량기업부,12810,2,-1020,-7.38,14250,14800,12670,4178851,56003254140,992179335000,77453500,KSQ
116,376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,63300,1,7900,14.26,58000,65000,56600,615485,38320857450,991372253700,15661489,KSQ
117,358570,KR7358570000,지아이이노베이션,KOSDAQ,기술성장기업부,15490,1,870,5.95,14700,15780,14670,927716,14245820970,989392630590,63872991,KSQ
118,376300,KR7376300000,디어유,KOSDAQ,우량기업부,41500,2,-700,-1.66,42650,42650,41500,133090,5575655275,985143849000,23738406,KSQ
119,131290,KR7131290009,티에스이,KOSDAQ,우량기업부,88800,2,-2000,-2.2,92900,92900,88200,66409,5999875200,982254895200,11061429,KSQ
120,389470,KR7389470006,인벤티지랩,KOSDAQ,기술성장기업부,74300,1,4100,5.84,70900,74600,69000,176905,12917577950,977795578600,13160102,KSQ
121,082920,KR7082920000,비츠로셀,KOSDAQ,우량기업부,21350,1,350,1.67,21450,21450,20700,292533,6203401725,967997833950,45339477,KSQ
122,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,131500,2,-700,-0.53,133100,133300,130300,33792,4445858450,959752355500,7298497,KSQ
123,295310,KR7295310007,에이치브이엠,KOSDAQ,기술성장기업부,80400,2,-2600,-3.13,82400,82400,78100,243530,19432804900,956915252400,11901931,KSQ
124,490470,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,28150,2,-500,-1.75,28900,29500,27800,607247,17339561500,951364887900,33796266,KSQ
125,348340,KR7348340001,뉴로메카,KOSDAQ,기술성장기업부,76100,2,-1900,-2.44,78000,79200,75400,487375,37427109550,940759691100,12362151,KSQ
126,112040,KR7112040001,위메이드,KOSDAQ,중견기업부,27500,2,-400,-1.43,28200,28350,27500,133789,3725959300,933583282500,33948483,KSQ
127,086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,20550,1,50,0.24,21000,21250,20150,491454,10105974525,929485131000,45230420,KSQ
128,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,30550,1,950,3.21,30150,31000,29850,308585,9398162475,916179041700,29989494,KSQ
129,060250,KR7060250008,NHN KCP,KOSDAQ,우량기업부,22750,2,-50,-0.22,23300,23800,22300,1735647,39939899025,913653900250,40160611,KSQ
